Año;Actividad económica;Total n° de empresas;Total Ventas anuales en UF;Total de Renta neta informada en UF
2005;Actividades de restaurantes y de servicio móvil de comidas;19898;38990307,17;4980580,792
2006;Actividades de restaurantes y de servicio móvil de comidas;21102;39123177,16;4730722,437
2007;Actividades de restaurantes y de servicio móvil de comidas;20903;40100680,49;4868228,238
2008;Actividades de restaurantes y de servicio móvil de comidas;21166;38987409,07;4577591,07
2009;Actividades de restaurantes y de servicio móvil de comidas;21852;42757451,65;5391114,858
2010;Actividades de restaurantes y de servicio móvil de comidas;22360;46424383,33;5645563,389
2011;Actividades de restaurantes y de servicio móvil de comidas;23123;53304621,03;6452382,682
2012;Actividades de restaurantes y de servicio móvil de comidas;23522;57514134,55;7062018,129
2013;Actividades de restaurantes y de servicio móvil de comidas;24479;62512331,41;7947112,259
2014;Actividades de restaurantes y de servicio móvil de comidas;26222;66355624,11;8728100,884
2015;Actividades de restaurantes y de servicio móvil de comidas;31037;90570647,48;11809403,01
2016;Actividades de restaurantes y de servicio móvil de comidas;33056;95739874,28;12865865,98
2017;Actividades de restaurantes y de servicio móvil de comidas;36011;100871053,8;13637536,53
2018;Actividades de restaurantes y de servicio móvil de comidas;43096;105510702,2;14776455,65
2019;Actividades de restaurantes y de servicio móvil de comidas;46632;123565937,2;18419850,12
2020;Actividades de restaurantes y de servicio móvil de comidas;46407;64562298,51;9045564,707
2021;Actividades de restaurantes y de servicio móvil de comidas;51002;116310565,2;13768260,81
2022;Actividades de restaurantes y de servicio móvil de comidas;52474;142008670;18184664,1
